ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse0,Corpse1,MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,Flags0,Flags1
349,Mauradon,Maraudon,,,,,-1432.697,2924.978,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,1553,262152
369,DeeprunTram,Deeprun Tram,,,,,-8349.224,517.348,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,268437009,262656
389,OrgrimmarInstance,Ragefire Chasm,,,,,1816.756,-4423.372,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,1553,262152
409,MoltenCore,Molten Core,,,,,-7510.565,-1036.698,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,1553,262152
429,DireMaul,Dire Maul,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,1537,262152
449,AlliancePVPBarracks,Alliance PVP Barracks,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,-1,0,0,0,775968,1553,262152
450,HordePVPBarracks,Horde PVP Barracks,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,-1,0,0,0,782776,1553,262152
451,development,Development Land,,,,,0,0,1,0,3,0,21,-1,-1,-1,0,1,-1,0,0,0,857684,134219359,262152
469,BlackwingLair,Blackwing Lair,,,,,-7663.413,-1218.667,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,1553,262152
489,PVPZone03,Classic Warsong Gulch,"A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.",Capture the enemy flag,"- Defend your flag
- Capture the enemy flag
- Most recent capture wins",0,0,1,3,0,3277,122,-1,-1,-1,0,1,-1,0,0,0,790291,1553,786432
509,AhnQiraj,Ruins of Ahn'Qiraj,,,,,-8114.464,1526.366,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,1553,262152
529,PVPZone04,Classic Arathi Basin,"The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.

Meanwhile, the League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.","The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.

Meanwhile, the Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.",Capture the objectives,"- Capture and hold the objectives
- Earn 1500 resources",0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,-1,0,0,0,790377,1553,786432
530,Expansion01,Outland,,,,,0,0,1,0,1,0,198,-1,-1,-1,0,1,-1,0,0,804943,828395,16778769,262152
531,AhnQirajTemple,Ahn'Qiraj Temple,,,,,-8111.724,1526.786,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,1553,262152
532,Karazahn,Karazhan,,,,,-11110.41,-2004.065,1,2,1,3457,200,-1,-1,-1,0,1,0,10,0,0,834192,1553,262152
533,Stratholme Raid,Naxxramas,,,,,0,0,1,2,2,3456,197,-1,-1,-1,0,1,-1,25,0,0,827115,34321,262152
534,HyjalPast,The Battle for Mount Hyjal,,,,,-8178.508,-4182.05,1,2,1,616,212,-1,-1,-1,0,1,1,25,0,0,831824,1553,262152
540,HellfireMilitary,Hellfire Citadel: The Shattered Halls,,,,,-306.7582,3064.436,2,1,1,3714,199,-1,-1,-1,0,1,530,5,0,0,831277,1553,262152
542,HellfireDemon,Hellfire Citadel: The Blood Furnace,,,,,-295.4193,3151.993,2,1,1,3713,199,-1,-1,-1,0,1,530,5,0,0,830642,1553,262152
543,HellfireRampart,Hellfire Citadel: Ramparts,,,,,-360.0499,3067.896,1,1,1,3562,199,-1,-1,-1,0,1,530,5,0,0,832154,67089,262152
544,HellfireRaid,Magtheridon's Lair,,,,,-330.2339,3106.636,2,2,1,3836,208,-1,-1,-1,0,1,530,25,0,0,833183,1553,262152
545,CoilfangPumping,Coilfang: The Steamvault,,,,,764.2191,6915.08,2,1,1,3715,207,-1,-1,-1,0,1,530,5,0,0,828422,1553,262152
546,CoilfangMarsh,Coilfang: The Underbog,,,,,764.6282,6768.073,2,1,1,3716,207,-1,-1,-1,0,1,530,5,0,0,831262,1553,262152
547,CoilfangDraenei,Coilfang: The Slave Pens,,,,,742.1582,7011.327,2,1,1,3717,207,-1,-1,-1,0,1,530,5,0,0,830731,1553,262152
548,CoilfangRaid,Coilfang: Serpentshrine Cavern,,,,,775.7864,6865.243,2,2,1,3607,207,-1,-1,-1,0,1,530,25,0,0,829900,1553,262152
550,TempestKeepRaid,Tempest Keep,,,,,0,0,2,2,1,3845,206,-1,-1,-1,0,1,-1,25,0,0,832484,1553,262152
552,TempestKeepArcane,Tempest Keep: The Arcatraz,,,,,0,0,2,1,1,3848,206,-1,-1,-1,0,1,-1,5,0,0,832070,1553,262152
553,TempestKeepAtrium,Tempest Keep: The Botanica,,,,,0,0,2,1,1,3847,206,-1,-1,-1,0,1,-1,5,0,0,833950,1553,262152
554,TempestKeepFactory,Tempest Keep: The Mechanar,,,,,0,0,2,1,1,3849,206,-1,-1,-1,0,1,-1,5,0,0,831974,1553,262152
555,AuchindounShadow,Auchindoun: Shadow Labyrinth,,,,,-3640.688,4943.163,2,1,1,3789,201,-1,-1,-1,0,1,530,5,0,0,828331,1553,262152
556,AuchindounDemon,Auchindoun: Sethekk Halls,,,,,-3361.863,4665.592,2,1,1,3791,201,-1,-1,-1,0,1,530,5,0,0,828811,1553,262152
557,AuchindounEthereal,Auchindoun: Mana-Tombs,,,,,-3089.516,4942.756,2,1,1,3792,201,-1,-1,-1,0,1,530,5,0,0,830899,1553,262152
558,AuchindounDraenei,Auchindoun: Auchenai Crypts,,,,,-3363.44,5156.455,2,1,1,3790,201,-1,-1,-1,0,1,530,5,0,0,830415,1553,262152
559,PVPZone05,Nagrand Arena (old),,,,,0,0,1,4,0,0,219,-1,-1,-1,0,1,-1,0,0,0,790469,1553,786440
560,HillsbradPast,The Escape from Durnholde,,,,,-8309.81,-4061.509,1,1,1,267,212,-1,-1,-1,0,1,1,5,0,0,833998,9745,262152
562,bladesedgearena,zzOldBlade's Edge Arena,,,,,0,0,1,4,0,3702,218,-1,-1,-1,0,1,-1,0,0,0,780261,1553,786440
564,BlackTemple,Black Temple,,,,,-3644.53,317.294,1,2,1,0,215,-1,-1,-1,0,1,530,25,0,0,829630,1553,262152
565,GruulsLair,Gruul's Lair,,,,,3525.453,5144.151,2,2,1,3923,213,-1,-1,-1,0,1,530,25,0,0,833180,1553,262152
566,NetherstormBG,Eye of the Storm,"Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

Eye of the Storm is a 15 vs 15 domination battleground, where each side attempts to control the Mage Tower, Fel Reaver Ruins, Blood Elf Tower, and Draenei Ruins for as long as possible.

This battlefield is coveted by the blood elves for its rich energy deposits.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.","Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

Eye of the Storm is a 15 vs 15 domination battleground, where each side attempts to control the Mage Tower, Fel Reaver Ruins, Blood Elf Tower, and Draenei Ruins for as long as possible.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.

This battlefield is coveted by the blood elves for its rich energy deposits.",Capture the objectives,"- Capture and hold objectives
- Capture the center flag
- Earn 1500 resources",0,0,1,3,0,0,210,-1,-1,-1,0,1,-1,0,0,0,788893,1553,786440
568,ZulAman,Zul'Aman,,,,,6851.021,-7989.713,1,1,3,0,276,-1,-1,-1,0,1,530,10,0,0,815727,1553,262152
571,Northrend,Northrend,,,,,0,0,1,0,2,0,216,-1,-1,-1,0,1,-1,0,0,804939,822688,16786973,262168
572,PVPLordaeron,Ruins of Lordaeron,,,,,0,0,1,4,0,0,217,-1,-1,-1,0,1,-1,0,0,0,789984,1553,786440
573,ExteriorTest,ExteriorTest,,,,,0,0,1,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,855346,1567,262216
574,Valgarde70,Utgarde Keep,,,,,1211.759,-4868.422,1,1,2,0,220,-1,-1,-1,0,1,571,5,0,0,825743,9757,262152
575,UtgardePinnacle,Utgarde Pinnacle,,,,,1232.41,-4860.954,1,1,2,0,221,-1,-1,-1,0,1,571,5,0,0,827661,67101,262152
576,Nexus70,The Nexus,,,,,3899.926,6985.436,2,1,2,4265,226,-1,-1,-1,0,1,571,5,0,0,821331,1553,262152
578,Nexus80,The Oculus,,,,,3865.923,6983.94,1,1,2,0,227,-1,-1,-1,0,1,571,5,0,0,819814,1565,262152
580,SunwellPlateau,The Sunwell,,,,,12551.76,-6774.565,1,2,1,0,225,-1,-1,-1,0,1,530,25,0,0,832953,1553,262152
582,Transport176244,Transport: Rut'theran to Auberdine,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
584,Transport176231,Transport: Menethil to Theramore,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
585,Sunwell5ManFix,Magister's Terrace,,,,,12881.9,-7343.095,1,1,1,0,224,-1,-1,-1,0,1,530,5,0,0,834223,67101,262152
586,Transport181645,Transport: Exodar to Auberdine,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
587,Transport177233,Transport: Feathermoon Ferry,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
588,Transport176310,Transport: Menethil to Auberdine,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
589,Transport175080,Transport: Orgrimmar to Grom'Gol,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
590,Transport176495,Transport: Grom'Gol to Undercity,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
591,Transport164871,Transport: Undercity to Orgrimmar,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
592,Transport186238,Transport: Borean Tundra Test,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
593,Transport20808,Transport: Booty Bay to Ratchet,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
594,Transport187038,Transport: Howling Fjord Sister Mercy (Quest),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
595,StratholmeCOT,The Culling of Stratholme,,,,,-8756.087,-4457.418,1,1,2,0,222,-1,-1,-1,0,1,1,5,0,0,826005,1553,262152
596,Transport187263,Transport: Naglfar,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
597,CraigTest,Craig Test,,,,,0,0,1,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,862017,1759,262152
598,Sunwell5Man,Sunwell Fix (Unused),,,,,0,0,2,1,1,0,4,-1,-1,-1,0,1,-1,5,0,0,863869,1555,262152
599,Ulduar70,Halls of Stone,,,,,8921.793,-966.8065,1,1,2,0,230,-1,-1,-1,0,1,571,5,0,0,824642,1565,262152
600,DrakTheronKeep,Drak'Tharon Keep,,,,,4774.583,-2023.049,1,1,2,0,228,-1,-1,-1,0,1,571,5,0,0,820968,1565,262152
601,Azjol_Uppercity,Azjol-Nerub,,,,,3672.215,2171.275,1,1,2,0,229,-1,-1,-1,0,1,571,5,0,0,818693,1565,262152
602,Ulduar80,Halls of Lightning,,,,,9185.088,-1386.791,1,1,2,0,231,-1,-1,-1,0,1,571,5,0,0,824768,1565,262152
603,UlduarRaid,Ulduar,,,,,9359.371,-1115.175,1,2,2,0,244,0,-1,-1,0,1,571,5,0,0,825015,1565,262152
604,GunDrak,Gundrak,,,,,6708.731,-4654.904,1,1,2,0,237,-1,-1,-1,0,1,571,5,0,0,818626,1565,262152
605,development_nonweighted,Development Land (non-weighted textures),,,,,0,0,1,2,0,0,21,-1,-1,-1,0,1,-1,0,0,0,857811,1555,262152
606,QA_DVD,QA and DVD,,,,,0,0,1,0,3,0,21,-1,-1,-1,0,1,-1,0,0,0,866654,1567,262152
607,NorthrendBG,Strand of the Ancients,"To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.","To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.",Capture the Titan Relic,"- Attackers: Destroy the gates and relic
- Defenders: Defend the gates and relic
- Fastest team to capture the relic wins",0,0,1,3,0,0,238,-1,-1,-1,0,1,-1,0,0,0,789579,1565,786440
608,DalaranPrison,Violet Hold,,,,,5689.49,498.0469,1,1,2,0,235,-1,-1,-1,0,1,571,5,0,0,818205,1565,262152
609,DeathKnightStart,Ebon Hold,,,,,0,0,1,0,2,0,233,-1,-1,-1,0,1,-1,0,0,0,818210,67101,262152
610,Transport_Tirisfal _Vengeance_Landing,Transport: Tirisfal to Vengeance Landing,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
612,Transport_Menethil_Valgarde,Transport: Menethil to Valgarde,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
613,Transport_Orgrimmar_Warsong_Hold,Transport: Orgrimmar to Warsong Hold,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
614,Transport_Stormwind_Valiance_Keep,Transport: Stormwind to Valiance Keep,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
615,ChamberOfAspectsBlack,The Obsidian Sanctum,,,,,3438.153,260.4013,1,2,2,0,239,-1,-1,-1,0,1,571,0,0,0,820448,34333,262152
616,NexusRaid,The Eye of Eternity,,,,,3869.981,6984.33,1,2,2,0,236,-1,-1,-1,0,1,571,5,0,0,822560,34333,262152
617,DalaranArena,Dalaran Sewers,,,,,0,0,1,4,0,0,242,0,-1,-1,0,1,-1,0,0,0,780309,1565,786440
618,OrgrimmarArena,The Ring of Valor,,,,,0,0,1,4,0,0,240,720,-1,-1,0,1,-1,0,0,0,789925,4195869,786440
619,Azjol_LowerCity,Ahn'kahet: The Old Kingdom,,,,,3641.458,2032.064,1,1,2,0,234,-1,-1,-1,0,1,571,0,0,0,818056,1565,262152
620,Transport_Moa'ki_Unu'pe,Transport: Moa'ki to Unu'pe,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
621,Transport_Moa'ki_Kamagua,Transport: Moa'ki to Kamagua,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
622,Transport192241,Transport: Orgrim's Hammer,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
623,Transport192242,Transport: The Skybreaker,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
624,WintergraspRaid,Vault of Archavon,,,,,5488.125,2840.334,1,2,2,0,243,-1,-1,-1,0,1,571,0,0,0,826589,34365,262152
627,unused,Unused (DELETE ME),,,,,0,0,1,5,6,0,25,-1,-1,-1,0,1,-1,0,0,0,856557,15957,262144
628,IsleofConquest,Isle of Conquest,"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar).","The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar).",Slay the enemy's leader,"- Capture the vehicle spawn points
- Siege the enemy fortress
- Slay the enemy's leader",0,0,1,3,2,0,245,-1,-1,-1,0,1,-1,0,0,0,821811,1565,786440
631,IcecrownCitadel,Icecrown Citadel,,,,,5776.922,2065.932,1,2,2,0,250,-1,-1,-1,0,1,571,0,0,0,820428,34589,262152
632,IcecrownCitadel5Man,The Forge of Souls,,,,,5670.792,2003.629,1,1,2,0,249,-1,-1,-1,0,1,571,0,0,0,818965,1565,262152
637,AbyssalMaw,Abyssal Maw Exterior,,,,,0,0,1,1,3,0,23,-1,-1,-1,0,1,-1,0,0,0,814762,1565,262152
638,Gilneas,Gilneas,,,,,0,0,1,0,0,0,4,-1,654,-1,0,1,-1,0,0,0,782283,1629,262156
641,Transport_AllianceAirshipBG,Transport: Alliance Airship BG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
642,Transport_HordeAirshipBG,Transport: HordeAirshipBG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
643,AbyssalMaw_Interior,Throne of the Tides,,,,,-5585.872,5401.649,1,1,3,0,255,-1,-1,-1,0,1,0,0,0,0,814875,17949,262152
644,Uldum,Halls of Origination,,,,,-10226,-1837.479,1,1,3,0,256,1080,-1,-1,0,1,1,0,0,0,817800,1565,262152
645,BlackRockSpire_4_0,Blackrock Caverns,,,,,-7570.245,-1330.684,1,1,3,0,267,-1,-1,-1,0,1,0,0,0,0,813034,1565,262152
646,Deephome,Deepholm,,,,,0,0,1,0,3,0,268,-1,-1,-1,0,1,-1,0,0,0,816934,1629,270344
647,Transport_Orgrimmar_to_Thunderbluff,Transport: Orgrimmar to Thunder Bluff,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
648,LostIsles,LostIsles,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,0,0,787837,271965,262156
649,ArgentTournamentRaid,Trial of the Crusader,,,,,8515.286,736.1371,1,2,2,0,246,-1,-1,-1,0,1,571,0,0,0,818173,34589,262152
650,ArgentTournamentDungeon,Trial of the Champion,,,,,8571.435,792.2205,1,1,2,0,247,-1,-1,-1,0,1,571,0,0,0,817987,1565,262152
651,ElevatorSpawnTest,ElevatorSpawnTest,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1555,262152
654,Gilneas2,Gilneas2,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,0,0,782341,263709,262156
655,GilneasPhase1,GilneasPhase1,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782644,1629,262156
656,GilneasPhase2,GilneasPhase2,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782667,1629,262156
657,SkywallDungeon,The Vortex Pinnacle,,,,,-11522.49,-2317.934,1,1,3,0,259,-1,-1,-1,0,1,1,0,0,0,817086,1565,262152
658,QuarryofTears,Pit of Saron,,,,,5592.057,2010.271,1,1,2,0,252,-1,-1,-1,0,1,571,0,0,0,827056,1565,262152
659,LostIslesPhase1,Lost Isles Volcano Eruption,,,,,0,0,1,0,0,0,3,-1,648,-1,0,1,-1,0,0,0,788585,1565,262156
660,Deephomeceiling,Deephome Ceiling,,,,,0,0,1,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,855573,1695,262152
661,LostIslesPhase2,Lost Isles Town in a Box,,,,,0,0,1,0,0,0,0,-1,648,-1,0,1,-1,0,0,0,788648,1565,262156
662,Transport197195,Transport: Alliance Vashj'ir Ship,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
668,HallsOfReflection,Halls of Reflection,,,,,5628.875,1973.286,1,1,2,0,253,-1,-1,-1,0,1,571,0,0,0,818690,1565,262152
669,BlackwingDescent,Blackwing Descent,,,,,-7541.768,-1188.832,1,2,3,0,260,-1,-1,-1,0,1,0,0,0,0,813052,34589,262152
670,GrimBatolDungeon,Grim Batol,,,,,-4047.74,-3446.35,1,1,3,0,257,-1,-1,-1,0,1,0,0,0,0,815686,1565,262152
671,GrimBatolRaid,The Bastion of Twilight,,,,,-4903.01,-4221.21,1,2,3,0,266,-1,-1,-1,0,1,0,0,0,0,814552,34589,262152
672,Transport197347,Transport: The Skybreaker (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
673,Transport197348,Transport: Orgrim's Hammer (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
674,Transport197349-2,Transport: Ship to Vashj'ir,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
712,Transport197349,Transport: The Skybreaker (IC Dungeon),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
713,Transport197350,Transport: Orgrim's Hammer (IC Dungeon),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1553,262152
718,Transport201834,Trasnport: The Mighty Wind (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,1537,262152
